https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
clipboard-check           | \ue219     | 57881   
expand                    | \ue21a     | 57882   
octagon-pause             | \ue21b     | 57883   
panel-left-close          | \ue21c     | 57884   
panel-left-open           | \ue21d     | 57885   
person-standing           | \ue21e     | 57886   
rectangle-ellipsis        | \ue21f     | 57887   
shrink                    | \ue220     | 57888   
skull                     | \ue221     | 57889   
clipboard-x               | \ue222     | 57890   
vibrate                   | \ue223     | 57891   
bell-ring                 | \ue224     | 57892   
clipboard-copy            | \ue225     | 57893   
circle-check              | \ue226     | 57894   
tent                      | \ue227     | 57895   
chevrons-down-up          | \ue228     | 57896   
forward                   | \ue229     | 57897   
reply                     | \ue22a     | 57898   
reply-all                 | \ue22b     | 57899   
hand-metal                | \ue22c     | 57900   
square-function           | \ue22d     | 57901   
smartphone-charging       | \ue22e     | 57902   
import                    | \ue22f     | 57903   
currency                  | \ue230     | 57904   
mountain                  | \ue231     | 57905   
mountain-snow             | \ue232     | 57906   
rocking-chair             | \ue233     | 57907   
graduation-cap            | \ue234     | 57908   
megaphone                 | \ue235     | 57909   
timer-reset               | \ue236     | 57910   
flag-triangle-left        | \ue237     | 57911   
flag-triangle-right       | \ue238     | 57912   
quote                     | \ue239     | 57913   
landmark                  | \ue23a     | 57914   
alarm-clock-off           | \ue23b     | 57915   
bookmark-minus            | \ue23c     | 57916   
bookmark-plus             | \ue23d     | 57917   
list-minus                | \ue23e     | 57918   
list-plus                 | \ue23f     | 57919   
list-x                    | \ue240     | 57920   
badge-check               | \ue241     | 57921   
gem                       | \ue242     | 57922   
chevron-first             | \ue243     | 57923   
chevron-last              | \ue244     | 57924   
settings-2                | \ue245     | 57925   
wand                      | \ue246     | 57926   
folder-open               | \ue247     | 57927   
text-wrap                 | \ue248     | 57928   
timer-off                 | \ue249     | 57929   
arrow-left-right          | \ue24a     | 57930   
clock-1                   | \ue24b     | 57931   
clock-10                  | \ue24c     | 57932   
clock-11                  | \ue24d     | 57933   
clock-12                  | \ue24e     | 57934   
clock-2                   | \ue24f     | 57935   
clock-3                   | \ue250     | 57936   
clock-4                   | \ue251     | 57937   
clock-5                   | \ue252     | 57938   
clock-6                   | \ue253     | 57939   
clock-7                   | \ue254     | 57940   
clock-8                   | \ue255     | 57941   
clock-9                   | \ue256     | 57942   
scan                      | \ue257     | 57943   
scan-line                 | \ue258     | 57944   
pin                       | \ue259     | 57945   
carrot                    | \ue25a     | 57946   
drumstick                 | \ue25b     | 57947   
subscript                 | \ue25c     | 57948   
egg                       | \ue25d     | 57949   
superscript               | \ue25e     | 57950   
signal                    | \ue25f     | 57951   
signal-high               | \ue260     | 57952   
signal-low                | \ue261     | 57953   
signal-medium             | \ue262     | 57954   
signal-zero               | \ue263     | 57955   
text-cursor               | \ue264     | 57956   
text-cursor-input         | \ue265     | 57957   
package-check             | \ue266     | 57958   
package-minus             | \ue267     | 57959   
package-plus              | \ue268     | 57960   
package-search            | \ue269     | 57961   
package-x                 | \ue26a     | 57962   
cookie                    | \ue26b     | 57963   
align-center-horizontal   | \ue26c     | 57964   
align-center-vertical     | \ue26d     | 57965   
align-end-horizontal      | \ue26e     | 57966   
align-end-vertical        | \ue26f     | 57967   
align-start-horizontal    | \ue270     | 57968   
align-start-vertical      | \ue271     | 57969   
align-horizontal-justify-center | \ue272     | 57970   
align-horizontal-justify-end | \ue273     | 57971   
align-horizontal-justify-start | \ue274     | 57972   
align-horizontal-space-around | \ue275     | 57973   
